question;class
what songs does katherine jenkins sing?;['common.topic', 'music.release_track']
what is ryan seacrest famous for?;HUMAN
what is the current leader of japan?;None
what does george soros own?;COMPANY
what kind of money should i bring to dominican?;CURRENCY
who is the president of ecuador in 2012?;HUMAN
what city became the capital of the assyrian empire?;LOC
who started the federal reserve board?;ENTITY
where did marco rubio go to college?;LOC
where in tennessee are the smoky mountains?;LOC
where was emperor tiberius born?;LOC
who did ronald reagan get shot by?;TV
what county is novato in?;LOC
who did president kennedy marry?;HUMAN
what movies did zoe saldana play in?;MOVIE
where to go in mexico for vacation?;LOC
who does nikki reed play in the movie twilight?;MOVIE
what does matt dallas do now?;HUMAN
where did frank bruno live?;LOC
what type of cancer did donna summer died from?;HUMAN
where's the hudson river?;ENTITY
how long is queen victoria's reign?;['base.kwebbase.kwsentence']
what is the state flower of pennsylvania?;LOC
what school did michael jackson attend?;COMPANY
what does kenya moore do for a living?;HUMAN
who was wale signed to?;COMPANY
who did tyson chandler play for?;ENTITY
what character did liv tyler play in lord of the rings?;['common.topic', 'base.type_ontology.agent', 'base.type_ontology.abstract', 'music.artist', 'music.musical_group', 'music.featured_artist']
who played princess leia in star wars movies?;ENTITY
what did barack obama do before he took office?;POLITICS
where was saint joseph from?;LOC
where does kenya moore get her money?;HUMAN
what round did manny pacquiao win in?;['common.topic', 'dataworld.information_source', 'common.licensed_object']
what are countries in south asia?;LOC
where is the caribbean geographically located?;LOC
what songs does tom delonge sing?;['common.topic', 'music.release_track']
where did monta ellis go to college?;COMPANY
what was the cause of death of michael jackson?;HUMAN
who played laura ingalls mother?;HUMAN
what is the capital city of texas usa?;LOC
what is the main language spoken in switzerland?;LANG
what timezone is indianapolis in now?;None
where do cruises leave from in rome?;LOC
what time zone is new england usa in?;DATE-TIME
what is tulane university's mascot?;EDUCATION
where is aviano air force base located?;LOC
who is the owner of the philadelphia eagles?;HUMAN
where did giovanni da verrazano live?;TV
what movies does johnny depp play in?;MOVIE
who has won the last 10 nba championships?;SPORTS
who is the coach of the pittsburgh steelers 2005?;ENTITY
when are the summer olympics held?;DATE-TIME
when did mcgee start on ncis?;TV
what atom did j.j thomson discover?;LITERATURE
what country did the zulu live in?;LOC
where to fly in for galapagos islands?;LOC
who has tom brady played for?;SPORTS
who are betty white's husbands?;HUMAN
what are the major languages spoken in italy?;LANG
what years have the giants won the world series?;DATE-TIME
where did nick clegg go to prep school?;LOC
where did laura bush grow up?;LOC
what currency should i take to mauritius?;CURRENCY
what is a judge in the supreme court called?;POLITICS
what did johannes kepler accomplish?;HUMAN
what college did edgar allan poe go to?;LOC
who is ellen albertini dow?;HUMAN
where is the singapore zoo?;LOC
what town was abe lincoln born in?;LOC
what do ethiopia import and export?;LITERATURE
what challenges did helen keller have to face?;MOVIE
who is andy williams brother?;HUMAN
who was the 2nd prime minister of pakistan?;HUMAN
where does morrissey live 2010?;LOC
who played atticus finch in the movie?;ENTITY
where did toussaint louverture live?;COMPANY
what other countries share a border with china?;LOC
who has the voice of stewie griffin?;ENTITY
what party did john tyler belong to?;COMPANY
who is the senator of the state of texas?;HUMAN
where to stay in thailand koh samui?;DATE-TIME
who is jensen ackles in a relationship with?;HUMAN
what is the currency used in brazil?;CURRENCY
what was marie curie best known for?;DESCRIPTION
what money is used in mozambique?;CURRENCY
who is the governor of indiana 2012?;HUMAN
who was kim kardashian's first husband?;HUMAN
who did jerry rice retire with?;ENTITY
what are the official languages of the dominican republic?;LANG
what did anton van leeuwenhoek discover?;['base.kwebbase.kwconnection']
where was ted kennedy buried?;LOC
where do most immigrants in the united states come from today?;LOC
what state toronto located?;LOC
who is the governor of wyoming currently?;HUMAN
who was the president of indian national congress?;HUMAN
where do most of the people in egypt live?;LOC
where was benjamin franklin raised?;ENTITY
what money do they have in italy?;CURRENCY
what is phoebe halliwell's real name?;ENTITY
what is the name of the capital of spain?;LOC
what did people in the bible say about jesus?;LITERATURE
what lead to the fall of the ottoman empire?;DATE-TIME
where are facebook headquarters located?;LOC
what was the roman political system?;LITERATURE
what government type is north korea?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
where is the pepsi center?;LOC
who plays hermione granger?;ENTITY
what inspired m.c. escher to become an artist?;HUMAN
when did abraham lincoln free the slaves?;DATE-TIME
what county is denver colorado in?;LOC
what year did giants win world series?;DATE-TIME
what kind of government iran have?;POLITICS
when did melbourne get its name?;DATE-TIME
who is shania twain's husband?;HUMAN
who plays jason gideon?;ENTITY
where did president eisenhower go to college?;LOC
what are the gods of islam?;['type.content', 'common.image']
what was vasco nunez de balboa original purpose of his journey?;HUMAN
what team did kaka play for in 2009?;SPORTS
who played george jefferson on all in the family?;ENTITY
what guitar did clapton play?;COMPANY
who did joseph from the bible marry?;MOVIE
what did sir john frederick william herschel do?;LITERATURE
what college did joakim noah attend?;ENTITY
what channel does anderson cooper come on?;ENTITY
what money do they use in china?;CURRENCY
where did wassily kandinsky work?;LOC
who influenced michael jackson?;ENTITY
what all countries are in south america?;LOC
who was the leader of the ussr in 1948?;HUMAN
what ship did sir francis drake travel on?;['common.topic', 'base.type_ontology.agent', 'base.type_ontology.physically_instantiable', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'base.type_ontology.inanimate', 'boats.ship', 'projects.project_focus', 'travel.tourist_attraction', 'user.skud.boats.topic', 'user.skud.boats.vessel', 'architecture.museum', 'base.tallships.topic', 'user.skud.boats.sailing_vessel', 'base.tallships.tall_ship']
what did kellie martin play on?;MOVIE
what does united church of christ believe?;LITERATURE
where is walton goggins from?;LOC
what university did barack obama attend?;LOC
when did venus williams win wimbledon?;DATE-TIME
who is neil patrick harris dating?;HUMAN
where is the capital city of assyrians?;LOC
what type of political system is iran?;POLITICS
what do people from guam speak?;LANG
what to do if you have one day in bangkok?;['common.topic', 'metropolitan_transit.transit_system', 'metropolitan_transit.transit_line']
where was ben franklin born?;ENTITY
where did jerry spinelli live as a kid?;LOC
what do costa ricans speak?;LANG
what year did arizona cardinals go to superbowl?;DATE-TIME
what did charles babbage make?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
who played lt uhura?;HUMAN
what is new york giants?;COMPANY
what time is the melbourne cup?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'base.type_ontology.inanimate', 'base.schemastaging.holiday_occurrence', 'base.events.topic', 'base.fight.crowd_event', 'base.events.performance_event', 'freebase.unit_profile', 'time_series.unit', 'type.unit', 'measurement_unit.unit_of_frequency', 'base.events.festival_event', 'user.gogza.default_domain.recurring_period', 'user.brandon_macuser.conventions.convention_occurrence']
what schools did barack obama attend?;LOC
where is the french alps located?;LOC
what year was peyton manning's rookie year?;DATE
who was peter frampton married to?;HUMAN
who has coached the baltimore ravens?;ENTITY
what teams did manny ramirez play for?;ENTITY
what type of government does iraq have 2012?;POLITICS
what other jobs did benjamin franklin have?;['http://www.w3.org/2000/01/rdf-schema#Class', 'freebase.type_profile']
what year was the first miss america pageant?;DATE-TIME
what kind of guitar does lindsey buckingham play?;EDUCATION
what college did joe namath attend?;LOC
what city uses gmt?;LOC
where does the zambezi river begin?;LOC
what county is duluth minnesota in?;LOC
what zip code is chicago il?;LOC
what did andrew johnson die from?;HUMAN
who is the governor of oregon 2012?;HUMAN
what city is mt st helens in?;LOC
what is janelle monae famous for?;HUMAN
who created the ancient language in alagaesia?;ENTITY
what four regions make up the united kingdom?;LOC
what does time warner own?;ENTITY
where did the roma people come from?;LITERATURE
where was anne hathaway born?;LOC
who did bryce dallas howard play in eclipse?;LOC
who owns audi 2011?;ENTITY
who started twa airlines?;ENTITY
what are the two dialects of chinese?;LANG
who was michael jackson in the wiz?;ENTITY
where is washington dc located what state?;LOC
what state in chicago in?;LOC
what is the major language spoken in greece?;LANG
who wrote luke bryan's drunk on you?;HUMAN
what time is it in japan 24 hour clock?;DATE-TIME
what state is barack obama senator for?;POLITICS
what kinda music does john mayer sing?;MUSIC
what will happen to greece when it defaults?;ENTITY
what boudicca do?;LITERATURE
where did sir john a macdonald die?;LOC
what kind of money in aruba?;CURRENCY
what is the date today in perth?;MOVIE
what country does spanish come from?;LOC
what is south korea's capital city?;ENTITY
who was darth vader in episode 3?;ENTITY
when does ellen air?;DATE-TIME
what does obama have a degree in?;LITERATURE
who is the political leader of japan?;HUMAN
what country did giovanni da verrazano represent?;LOC
when was saint nicholas died?;DATE-TIME
what city is the jacksonville jaguars from?;LOC
when is the last time the raiders won a championship?;TV
where is the time zone in florida?;DATE-TIME
who created youtube and when?;ENTITY
what happened to farrah and her baby daddy?;HUMAN
what are the names of snoopy brothers and sisters?;['common.topic', 'music.release_track']
what is the laguna beach theme song?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
what is thomas edison's most famous for?;['http://www.w3.org/2000/01/rdf-schema#Class', 'freebase.type_profile']
what does jennifer lopez do?;HUMAN
what country was dmitri mendeleev born?;LOC
where did pres obama go to high school?;LOC
what money system does australia use?;CURRENCY
when did herman cain run for president?;POLITICS
who is caroline spencer jr s father?;TV
when is the us open tennis mens final 2011?;DATE-TIME
where does nick diaz fight?;MOVIE
where did st louis tornado hit?;LOC
what did whitney houston die of?;['common.topic', 'music.release_track']
what movies has selena gomez starred in?;MOVIE
what to do in midland tx this weekend?;LOC
who played freddy in friday the 13th?;HUMAN
what contribution did hooke made to science in 1665?;LITERATURE
what did eli whitney invented?;SCIENCE
what movies has angelina jolie in?;LITERATURE
what radio station does uga football come on?;None
who owns the chrysler corporation?;HUMAN
what country christopher columbus from?;LOC
who was michael j fox?;HUMAN
what movies did jenna dewan play in?;MOVIE
what is the bosnian language?;LANG
where is shawn johnson gymnast from?;LOC
what kind of money does the ivory coast use?;CURRENCY
what writers influenced charles dickens?;ENTITY
where is roger federer from sui?;LOC
where did the florida marlins?;LOC
what movies did taylor lautner star in?;MOVIE
what did nixon do when he was president?;DATE-TIME
what language did the egyptians?;LANG
who plays sarah marshall?;ENTITY
what did skinner believe?;LITERATURE
when did babe ruth start playing baseball in the mlb?;DATE-TIME
who plays marlo on the wire?;HUMAN
what is the zip code for inglewood california?;LOC
who was the first actor to play edward quartermaine?;ENTITY
where did the founder of google go to college?;LOC
what made roald dahl famous?;HUMAN
what school did martin luther king jr attend?;ENTITY
who did lenny kravitz marry?;HUMAN
what is the second official language of canada?;None
what is the language called in russia?;LANG
what does the name austin stand for?;HUMAN
who does hank baskett play for now nov 2010?;ENTITY
what team did ronaldo play for?;ENTITY
what to do today in birmingham uk?;LOC
who was timothy mcveigh accomplice?;HUMAN
how old is the current president of north korea?;HUMAN
what language do the people speak in australia?;LANG
what college is in greeley colorado?;LOC
what countries does the niger river flow through?;LOC
what is the official state flower of arizona?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
where is pyramids located in egypt?;LITERATURE
what games did bungie make?;GAME
who does cristiano ronaldo play for 2012?;SPORTS
what type of laws did mary harris jones demand?;['common.topic', 'base.popstra.topic', 'base.popstra.sww_base', 'organization.organization_sector', 'user.micahsaul.advertising.advertised_thing', 'base.activism.topic', 'base.popstra.organization', 'base.activism.activism_issue']
what language do the speak in switzerland?;LANG
where to stay in rome neighborhood?;LOC
what style of art did van gogh produce?;COMPANY
what are portuguese people considered?;['type.lang', 'base.cldrinfo.langinfo']
what movies did angelina jolie star in?;LITERATURE
where was ancient carthage located?;LOC
what type of paintings did marc chagall do?;LITERATURE
what movies did howard shore wrote the music for?;ENTITY
what does chilean people speak?;LANG
what were frederick douglass achievements?;['http://www.w3.org/2000/01/rdf-schema#Property']
who plays kenneth on 30 rock?;ENTITY
what is zip code for davenport iowa?;LOC
where is riley's farm located?;LOC
who is the current coach of the new york knicks?;HUMAN
what was the name of william shakespeare's children?;HUMAN
what currency does jamaica accept?;CURRENCY
who played howard stern in private parts?;TV
when countries joined the european union?;DATE-TIME
which team does ronaldinho play for?;None
where is eric cantor from?;LOC
what is the currency of sweden called?;COMPANY
what school did cam newton go to before auburn?;ENTITY
when did ny giants win the superbowl?;TV
when did kerry run for president?;POLITICS
what's sweden's currency?;COMPANY
what currency does greece use?;CURRENCY
who are senators from utah?;HUMAN
what is the zip code for georgetown ga?;LOC
who did michael vick play for in 2008?;LOC
when was the last shark attack in maui?;LOC
where was the assyrian civilization located?;LOC
what did baron de montesquieu die from?;MUSIC
who are the current senators from illinois?;HUMAN
what inventions did robert hooke made?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
who plays patrick jane wife?;ENTITY
what team does derrick rose play for?;ENTITY
what countries do new zealand export to?;LOC
what illness did huell howser died of?;HUMAN
what car models does gm make?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
which legend of zelda game is the first?;['common.topic', 'base.type_ontology.non_agent', 'music.release', 'media_common.creative_work']
what nationality is zack de la rocha?;LOC
what years have the steelers won the super bowl?;TV
what did doc holliday die from?;HUMAN
what countries does britain own?;LOC
what government does france have?;POLITICS
where did robin gibb die?;LOC
what countries are on the mediterranean sea?;LOC
what languages do they speak in russia?;LANG
when were the phillies founded?;DATE-TIME
who is john cabot's parents?;HUMAN
what is the capital city of montana usa?;LOC
who succeeded william mckinley as president?;ENTITY
what george washington carver famous for?;SCIENCE
what is the zip code for wildwood?;LOC
what money currency does canada use?;CURRENCY
where did bronx tale take place?;HUMAN
what kind of money do they use in russia?;CURRENCY
what does uvm stand for college?;LOC
who plays edward elric?;HUMAN
what was samuel de champlain searching for?;LITERATURE
what kind of money does germany?;CURRENCY
who did walter raleigh sail for?;LOC
what cities are included in maricopa county?;LOC
what time is the grand prix starting?;['common.topic', 'base.type_ontology.agent', 'base.type_ontology.abstract', 'music.artist', 'music.musical_group']
what are the places to see in dubai?;LOC
where is johnny depp from?;LOC
what characters does todd haberkorn voice?;TV
what language do pakistani people talk?;LANG
what does china border?;LOC
when does the russian league start?;DATE-TIME
what was alice walker famous for?;HUMAN
where do haitian people come from?;COMPANY
where is the time zone in kentucky?;DATE-TIME
what albums did john frusciante play on?;LITERATURE
what influenced whitman's poetry?;LITERATURE
where did jimmy hoffa live?;LOC
what role did frederick douglass play in the abolition movement?;['common.topic', 'base.type_ontology.agent', 'base.type_ontology.abstract', 'base.type_ontology.inanimate', 'organization.organization']
where people speak welsh?;LOC
what state obama was born?;LOC
what is the zip code for morgantown in?;LOC
who is democritus and what did he discover?;HUMAN
who plays bella on twilight?;ENTITY
who does cristiano ronaldo play for in 2010?;SPORTS
where did elvis presley live before he died?;LOC
what is the currency of germany in 2010?;CURRENCY
what to do in daytona?;LOC
who was the vice president during george w bush?;ENTITY
where did kevin hart go to school?;ENTITY
where gm cars are built?;LOC
what kind of money do japanese use?;CURRENCY
what kind of money does chile use?;CURRENCY
what currency do italy have?;CURRENCY
what are spanish speaking countries and their capitals?;LOC
what did susan atkins die of?;HUMAN
what type of currency does brazil use?;CURRENCY
who plays tommy oliver in power rangers?;HUMAN
what year did dwight howard won the slam dunk contest?;DATE
what were hitler's parents names?;HUMAN
when was the first pope of the catholic church?;HUMAN
what did amerigo vespucci explore?;LOC
what currency do i bring to cuba?;CURRENCY
what kind of government does mongolia?;POLITICS
what are some native american holidays?;ENTITY
where did jesse james die?;LOC
where is spain located what continent?;LOC
what are the two major religions in canada?;LITERATURE
what kind of government do the canadians have?;POLITICS
what happened to sir thomas cromwell?;HUMAN
who plays stewie griffin's voice?;ENTITY
who did butler beat last night?;MOVIE
what are the mountains in peru called?;LOC
which kardashians are having babies?;ENTITY
what team does plaxico burress play for?;ENTITY
where english is spoken in the world?;LOC
where is victoria beckham from?;LOC
what office does paul ryan hold?;POLITICS
what country is the iberian peninsula located in?;LOC
who is daniel in the bible?;HUMAN
who played marty mcfly's dad?;MOVIE
what is george washington's legacy?;ENTITY
who is jojo simmons mother?;HUMAN
where do cherry trees grow in the united states?;LOC
who plays john connor in terminator salvation?;ENTITY
what country was osama bin laden killed in?;LOC
where did james cook go on his voyages?;LITERATURE
who won the governor election in michigan?;HUMAN
where did heidi klum and seal get married?;LOC
who created the chinese communist party?;LITERATURE
what timezone is new england usa in?;None
what happened to rev. robert schuller?;HUMAN
who plays the voice of meg in family guy?;ENTITY
what form of government does north korea?;POLITICS
where is located cornell university?;LOC
who speaks arabic language?;LOC
who played the parents in ferris bueller day off?;HUMAN
where james madison was born?;LOC
when was the last time iran invaded another country?;DATE-TIME
what did the ottoman empire look like?;LOC
who is jeff probst ex wife?;HUMAN
where is tsonga born?;LOC
what island is bethany hamilton from?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
what is paige halliwell's powers?;LITERATURE
what city is the state capital of washington?;LOC
what does shawn johnson do?;HUMAN
what was the reagan administration known for?;LITERATURE
where did nadia boulanger live?;LOC
what airport do you fly into maui?;LOC
who does mark sanchez play for?;ENTITY
what sea does the yangtze river empty into?;['base.skosbase.skos_concept']
what are the main imports and exports of afghanistan?;LITERATURE
what type of government germany have?;POLITICS
what is there to do in montpelier vt?;COMPANY
who is the leader of japan right now?;HUMAN
what movies were michael clarke duncan?;MOVIE
in which city was president kennedy killed?;LOC
where is martin cooper from?;LOC
what is charlie sheen's dad's name?;ENTITY
what office does boehner hold?;POLITICS
where do the baltimore ravens play?;LOC
what sport do the harlem globetrotters play?;SPORTS
who was betty white married too?;HUMAN
where is danish located?;LOC
what is the best neighborhood to live in dallas?;LOC
who plays mary jane in spiderman 2?;ENTITY
what languages do scottish people speak?;LANG
what types of government does france have?;POLITICS
where is mount st helens?;LOC
who are the players on the toronto maple leafs?;HUMAN
in which continent is russia?;LOC
what to do in ottawa ontario today?;LOC
where did paul ryan live?;LOC
who is galileo galilei and what is he famous for?;HUMAN
what is the money currency in guatemala?;CURRENCY
where is angola located?;LOC
what is tibetan language?;LANG
what is the national flag of russia?;['common.topic', 'symbols.flag', 'user.skud.flags.topic']
what sort of government does canada have?;POLITICS
what country does mexico trade with?;LOC
what form of government does australia?;POLITICS
what are the official languages of jamaica?;LANG
which country did james cook sailed for?;LOC
what is the capital of oregon?;LOC
what do spain call their money?;CURRENCY
who did james franco play on general hospital?;HUMAN
which party did lincoln belong to?;COMPANY
who plays saruman in lord of the rings?;ENTITY
where is the best place to visit in the bahamas?;LOC
what teams did shaq play 4?;SPORTS
what currency does turkey accept?;CURRENCY
who was vice president under lincoln?;ENTITY
what state is the george washington university in?;LOC
where did paul ryan attend college?;LOC
who is ronaldo playing for now?;SPORTS
what color are the arizona cardinals uniforms?;ART
when was george h.w. bush elected president?;DATE-TIME
where the seneca indians lived?;LOC
which country does irish language come from?;LANG
what did the harlem renaissance created?;LITERATURE
where did mendeleev died?;ENTITY
where is glastonbury uk?;LOC
what language did ancient romans write in?;LANG
what team does diego forlan currently play for?;SPORTS
what to do downtown san francisco?;MOVIE
what kind of cancer did bob marley died from?;HUMAN
what religion did jesus christ follow?;LITERATURE
who was luke skywalker played by?;ENTITY
who does the voice of kovu in lion king?;HUMAN
where did theodore roosevelt live before he became president?;ENTITY
what year was tom brady drafted?;DATE
what party is bloomberg affiliated with?;['common.topic', 'music.release_track']
where was saint paul from?;LOC
what is the capital city of germany now?;LOC
what countries does japan export to?;LOC
what continent is syria located in?;LOC
what events does stephanie rice compete in?;DATE-TIME
what happened to nelson mandela after he was released from jail?;POLITICS
where did charlton heston live?;LOC
what region is thailand located in?;LOC
who was president when the us navy department was established?;HUMAN
where to visit in orlando florida?;LOC
who are all the american idol winners and runner ups?;ENTITY
what was alexander graham bell known for?;COMPANY
what band did joe satriani play in?;['common.topic', 'base.type_ontology.agent', 'base.type_ontology.abstract', 'music.artist', 'music.musical_group', 'broadcast.artist']
what did mitch hedberg od on?;HUMAN
who did u.s. fight against in ww1?;LOC
which three countries share a land border with cambodia?;LITERATURE
what country was juan ponce de leon from?;LOC
where to go in florida for vacation?;LOC
what college did steve nash play basketball for?;LOC
who plays shao kahn?;HUMAN
what did douglas engelbart invent?;MOVIE
where did chef chuck hughes go to school?;LOC
what did james madison wrote?;LITERATURE
where is fiat abarth made?;LOC
where was tommy steele born?;LOC
what does chad michael murray play in?;MOVIE
what are some important events in ancient egypt?;DATE-TIME
who was sworn into office when john f kennedy was assassinated?;ENTITY
what date did the earthquake in christchurch happen?;DATE-TIME
when did mcgee join the ncis team?;DATE-TIME
where is university of auburn?;LOC
what countries are around egypt?;LOC
what did julia roberts won an oscar for?;MOVIE
who is engaged to john legend?;HUMAN
what nestle owns?;LITERATURE
who won governor of indiana 2012?;HUMAN
where did the allied invasion of france take place?;MUSIC
where did alex smith play high school football?;COMPANY
where is pyramids of giza located?;LOC
when does nasdaq start trading?;DATE-TIME
who plays kermit in the muppets movie?;ENTITY
what is african american literature?;LITERATURE
what are the primary languages of france?;None
what language do they speak in guyana south america?;LANG
what year were the new york yankees established?;DATE
what time does independence center open on sundays?;LOC
where did the navajo tribe live?;LOC
what did frankie lymon die from?;HUMAN
where did trey songz go to high school?;COMPANY
what was matthias schleiden known for?;HUMAN
what country was jesus born?;LOC
when was louisiana entered into the union?;DATE-TIME
when did mary shelley write frankenstein what were the circumstances?;DATE-TIME
what was vietnam war fought for?;LITERATURE
what is kate spade?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
what age can a woman retire in australia?;COMPANY
who founded the american federation of labor afl in 1886?;HUMAN
where is louisville ne?;LOC
where does missouri river end?;LOC
what team is hank baskett playing for in 2010?;ENTITY
what undergraduate school did martin luther king jr. attend?;LOC
what 5 countries border romania?;LOC
when was the last time the kansas city chiefs won a superbowl?;TV
where is united arab located?;LOC
where is kate middleton spending christmas?;LOC
what other movies has liam hemsworth?;['common.topic', 'music.release_track']
what is duncan bannatyne?;HUMAN
when did bradley cooper's dad die?;DATE-TIME
which countries border the baltic sea?;LOC
what to do in perth scotland?;LOC
who is keyshia cole married too?;HUMAN
what were some inventions of leonardo da vinci?;SCIENCE
what college did tosh . o go to?;ENTITY
who plays sam in anger management?;ENTITY
what type of strings does willie nelson use?;['music.instrument', 'common.topic', 'base.type_ontology.non_agent', 'base.schemastaging.contact_product', 'music.performance_role', 'base.ontologies.ontology_instance']
where did president andrew jackson grew up?;LOC
what did ivan pavlov invented?;SCIENCE
what countries and seas border ukraine?;LOC
where was joe biden a senator?;LOC
what is the money currency in italy?;CURRENCY
where was adolf hitler died?;LOC
what percent of mississippi is black?;['common.topic', 'base.type_ontology.inanimate', 'fictional_universe.fictional_setting']
what was sherlock holmes famous for?;MOVIE
who is number 5 on the boston celtics?;ENTITY
what does sirius black wand look like?;ENTITY
who is roger bacon inventor of?;SCIENCE
what city was woodstock held in?;LOC
who do pagans believe is god?;HUMAN
what was one thing benjamin franklin is famous for?;COMPANY
what did john williams play?;MUSIC
who is the current president of colombia 2011?;TV
what was the name of the book that charles darwin wrote?;LITERATURE
who might arthur miller think would?;HUMAN
what did atticus finch do?;['http://www.w3.org/2000/01/rdf-schema#Class']
what type of cancer did patrick swayze die from?;HUMAN
what was james madison's job?;MOVIE
what language does people in france speak?;LANG
where did hammurabi come from?;LOC
who does queen elizabeth hair?;ENTITY
what teams did robert horry won rings with?;ENTITY
what timezone is colorado in?;DATE-TIME
where is st helens park nsw?;LOC
who killed david ruffin?;HUMAN
where did james franco study acting?;LOC
what is d capital city of south africa?;LOC
who is mexico's president right now 2011?;HUMAN
what are the different dialects of chinese?;LANG
what city was kennedy shot?;LOC
what is the name of the alabama state tree?;LITERATURE
what is the capital of kentucky known for its bluegrass?;LOC
what money do you use in aruba?;CURRENCY
where did apostle paul grow up?;LOC
which countries share land border with vietnam?;LOC
who did queen mary marry?;HUMAN
where did japan invade to get resources?;LOC
who is the chicago bulls head coach?;ENTITY
where in georgia does usher live?;POLITICS
who are the two state senators of georgia?;HUMAN
what type of government does australia use?;POLITICS
what language do people in czech republic speak?;LANG
who plays giles in buffy the vampire slayer?;HUMAN
who voices lola bunny in looney tunes?;HUMAN
what did charles babbage create in the 1800s?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
what did hitler hate?;['base.kwebbase.kwsentence']
who plays faramir in lord of the rings?;ENTITY
when is the last time chicago bulls won a championship?;DATE-TIME
what is jonathan swift famous for?;HUMAN
where was dr luther king jr born?;LOC
where french revolution?;LOC
who does peyton manning play 4?;ENTITY
when is the diwali festival?;DATE-TIME
where is bob marley grave?;LOC
what did hitler do bad?;LITERATURE
where is murray kentucky?;LOC
what time zone is anaheim ca?;LOC
what is caesar augustus known for?;POLITICS
what form of government is israel?;LITERATURE
what year did the florida marlins win their 2nd world series title?;MOVIE
what guitar does duane allman play?;COMPANY
what is the speech i have a dream about martin luther king?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
what is the biggest country in europe by population?;LOC
what team does hank baskett play for 2011 season?;ENTITY
what are the african nations?;LOC
where did dr. martin luther king jr. go to school?;LOC
what channel is game show network on time warner cable?;ENTITY
what is the senate responsible for?;COMPANY
what book did w.e.b. dubois wrote?;LITERATURE
what are romney's sons names?;HUMAN
where is art smith from?;LOC
what films did michael clarke duncan star in?;MOVIE
what other political offices has obama been in?;TV
what airport do you fly into for clearwater florida?;LOC
what to do in venice beach ca?;LOC
what inspired van gogh work?;HUMAN
where is fresno texas located?;LOC
what is wrong with robin roberts?;HUMAN
where to go in downtown nashville tn?;LOC
what team rasheed wallace?;ENTITY
what is the timezone in england called?;TV
what airport is closest to palm springs?;LOC
what was abe lincoln's wife name?;HUMAN
what form of government do we have in the usa?;POLITICS
who are famous people from spain?;HUMAN
when did shaq come to the nba?;DATE-TIME
what empire did maria theresa rule?;['common.topic', 'base.type_ontology.non_agent', 'music.release', 'media_common.creative_work']
what language do they speak brazil?;LANG
who is jimmy fallon married to?;ENTITY
what country is russia close to?;LOC
where are john deere snow blowers made?;LOC
what is the money called in peru?;CURRENCY
what movies did kristen stewart act in?;MOVIE
what art movement does vincent van gogh belong to?;COMPANY
what music did robert pattinson do for twilight?;MUSIC
what type of government is the philippines?;POLITICS
what do you call russian currency?;CURRENCY
where did sir donald bradman live?;LOC
what is the name of the broncos mascot?;ENTITY
what caused the russian financial crisis of 1998?;['common.topic', 'military.military_combatant', 'user.skud.boats.naval_combatant']
what kind government does the us have?;['common.topic', 'base.type_ontology.agent', 'base.type_ontology.abstract', 'music.artist', 'music.musical_group']
